image,title,link,subtitle,description,category,additionalInfo
https://iiitd.ac.in/sites/default/files/images/admin/staff/pritipat.jpg,"Priti2 Patwal","https://iiitd.ac.in/koteswar","Software Engineer","pritip@iiitd.ac.in","Visiting Faculty",
https://iiitd.ac.in/sites/default/files/images/admin/staff/pritipat.jpg,"Priti3 Patwal","https://iiitd.ac.in/koteswar","Software Engineer2","pritip3@iiitd.ac.in","Visiting Faculty",
,AppFuse,,TCSVT 2022,KRJ,"Publications","nothing"
,AR-RASA,,DST-SHRI 2022-23,KRJ,"Projects",2022-23
,Multimedia Enhancement,,Aidea 2022-23,KRJ,"Consultancy", 2022-23
,Young Scientist Award,,INAE 2022,KRJ,"News",2022
,ACMMM@IIIT-Delhi,,IIITD 2022,CSE,"Events",2022
,nicelab wins CVPR challenge,,CVPR Workshops 2022,nicelab,"Media",2022
,M.Tech Admissions 2023,"https://iiitd.ac.in/admission/mtech/2023/cse-research-details?gclid=Cj0KCQjww4-hBhCtARIsAC9gR3b83Gu-EG8wUn2F_WUEVrhROTrxMysW72MbRCWDeo9AWZQGfS69TZwaAv0OEALw_wcB","M.Tech(R)@CSE","Deadline: April 30. Hurry Up!","News",2023

